pathway	compound
hsa00360	C00042
hsa00360	C00079
hsa00360	C00082
hsa00360	C00084
hsa00360	C00091
hsa00360	C00122
hsa00360	C00166
hsa00360	C00180
hsa00360	C00423
hsa00360	C00512
hsa00360	C00582
hsa00360	C00596
hsa00360	C00601
hsa00360	C00642
hsa00360	C00805
hsa00360	C01198
hsa00360	C01575
hsa00360	C01586
hsa00360	C01772
hsa00360	C02137
hsa00360	C02232
hsa00360	C02265
hsa00360	C02505
hsa00360	C02763
hsa00360	C02765
hsa00360	C03519
hsa00360	C03589
hsa00360	C04044
hsa00360	C04148
hsa00360	C04351
hsa00360	C04479
hsa00360	C05332
hsa00360	C05593
hsa00360	C05598
hsa00360	C05607
hsa00360	C05620
hsa00360	C05629
hsa00360	C05852
hsa00360	C05853
hsa00360	C06207
hsa00360	C07086
hsa00360	C08300
hsa00360	C08301
hsa00360	C11457
hsa00360	C11588
hsa00360	C12621
hsa00360	C12622
hsa00360	C12623
hsa00360	C12624
hsa00360	C14144
hsa00360	C14145
hsa00360	C15524
hsa00360	C16719
hsa00360	C17268
hsa00360	C19945
hsa00360	C19946
hsa00360	C19975
hsa00360	C20062
hsa00380	C00024
hsa00380	C00078
hsa00380	C00108
hsa00380	C00322
hsa00380	C00328
hsa00380	C00331
hsa00380	C00332
hsa00380	C00398
hsa00380	C00463
hsa00380	C00527
hsa00380	C00632
hsa00380	C00637
hsa00380	C00643
hsa00380	C00780
hsa00380	C00877
hsa00380	C00954
hsa00380	C00955
hsa00380	C00978
hsa00380	C01111
hsa00380	C01144
hsa00380	C01249
hsa00380	C01252
hsa00380	C01598
hsa00380	C01717
hsa00380	C01987
hsa00380	C02161
hsa00380	C02172
hsa00380	C02220
hsa00380	C02298
hsa00380	C02470
hsa00380	C02693
hsa00380	C02700
hsa00380	C02775
hsa00380	C02937
hsa00380	C02938
hsa00380	C03227
hsa00380	C03230
hsa00380	C03453
hsa00380	C03574
hsa00380	C03722
hsa00380	C03824
hsa00380	C04409
hsa00380	C05634
hsa00380	C05635
hsa00380	C05636
hsa00380	C05637
hsa00380	C05638
hsa00380	C05639
hsa00380	C05640
hsa00380	C05641
hsa00380	C05642
hsa00380	C05643
hsa00380	C05644
hsa00380	C05645
hsa00380	C05646
hsa00380	C05647
hsa00380	C05648
hsa00380	C05651
hsa00380	C05652
hsa00380	C05653
hsa00380	C05654
hsa00380	C05655
hsa00380	C05656
hsa00380	C05658
hsa00380	C05659
hsa00380	C05660
hsa00380	C05663
hsa00380	C05830
hsa00380	C05831
hsa00380	C05832
hsa00380	C05834
hsa00380	C05835
hsa00380	C05837
hsa00380	C06212
hsa00380	C06213
hsa00380	C08313
hsa00380	C10164
hsa00380	C16516
hsa00380	C16517
hsa00380	C16518
hsa00380	C17203
hsa00380	C22006
hsa00380	C22202
hsa00400	C00074
hsa00400	C00078
hsa00400	C00079
hsa00400	C00082
hsa00400	C00108
hsa00400	C00119
hsa00400	C00166
hsa00400	C00230
hsa00400	C00251
hsa00400	C00254
hsa00400	C00279
hsa00400	C00296
hsa00400	C00354
hsa00400	C00441
hsa00400	C00463
hsa00400	C00493
hsa00400	C00587
hsa00400	C00826
hsa00400	C00944
hsa00400	C01094
hsa00400	C01179
hsa00400	C01269
hsa00400	C01302
hsa00400	C02637
hsa00400	C03175
hsa00400	C03506
hsa00400	C04302
hsa00400	C04691
hsa00400	C16848
hsa00400	C16850
hsa00400	C17235
hsa00400	C20327
hsa00400	C20653
hsa00400	C20654
hsa00400	C20710
hsa00410	C00024
hsa00410	C00049
hsa00410	C00083
hsa00410	C00099
hsa00410	C00100
hsa00410	C00106
hsa00410	C00135
hsa00410	C00222
hsa00410	C00315
hsa00410	C00334
hsa00410	C00383
hsa00410	C00386
hsa00410	C00429
hsa00410	C00555
hsa00410	C00750
hsa00410	C00804
hsa00410	C00864
hsa00410	C00894
hsa00410	C00986
hsa00410	C01013
hsa00410	C01073
hsa00410	C01262
hsa00410	C02335
hsa00410	C02642
hsa00410	C03492
hsa00410	C03722
hsa00410	C05340
hsa00410	C05341
hsa00410	C05665
hsa00410	C05668
hsa00410	C05669
hsa00410	C05670
hsa00430	C00022
hsa00430	C00024
hsa00430	C00025
hsa00430	C00026
hsa00430	C00033
hsa00430	C00041
hsa00430	C00094
hsa00430	C00097
hsa00430	C00227
hsa00430	C00245
hsa00430	C00506
hsa00430	C00519
hsa00430	C00593
hsa00430	C00606
hsa00430	C01678
hsa00430	C01959
hsa00430	C03149
hsa00430	C05122
hsa00430	C05123
hsa00430	C05844
hsa00430	C06735
hsa00430	C14179
hsa00440	C00022
hsa00440	C00033
hsa00440	C00037
hsa00440	C00058
hsa00440	C00074
hsa00440	C00084
hsa00440	C00117
hsa00440	C01151
hsa00440	C01438
hsa00440	C02798
hsa00440	C03167
hsa00440	C03557
hsa00440	C04650
hsa00440	C05672
hsa00440	C05673
hsa00440	C05674
hsa00440	C05675
hsa00440	C05676
hsa00440	C05677
hsa00440	C05678
hsa00440	C05679
hsa00440	C05680
hsa00440	C05681
hsa00440	C05682
hsa00440	C05683
hsa00440	C06367
hsa00440	C06368
hsa00440	C06451
hsa00440	C06455
hsa00440	C06456
hsa00440	C06457
hsa00440	C06459
hsa00440	C17940
hsa00440	C17941
hsa00440	C17942
hsa00440	C17943
hsa00440	C17945
hsa00440	C17947
hsa00440	C17948
hsa00440	C17949
hsa00440	C17950
hsa00440	C17951
hsa00440	C17952
hsa00440	C17962
hsa00440	C20396
hsa00440	C20422
hsa00440	C20423
hsa00440	C20440
hsa00440	C20986
hsa00440	C21372
hsa00440	C21403
hsa00440	C21404
hsa00440	C21613
hsa00450	C00017
hsa00450	C00041
hsa00450	C01528
hsa00450	C02535
hsa00450	C05172
hsa00450	C05335
hsa00450	C05336
hsa00450	C05684
hsa00450	C05686
hsa00450	C05688
hsa00450	C05689
hsa00450	C05690
hsa00450	C05695
hsa00450	C05697
hsa00450	C05698
hsa00450	C05699
hsa00450	C05703
hsa00450	C06481
hsa00450	C06482
hsa00450	C16638
hsa00450	C18870
hsa00450	C18871
hsa00450	C18872
hsa00450	C18893
hsa00450	C18902
hsa00450	C18904
hsa00450	C18905
hsa00471	C00025
hsa00471	C00026
hsa00471	C00064
hsa00471	C00217
hsa00471	C00692
hsa00471	C00819
hsa00471	C01050
hsa00471	C01212
hsa00471	C02237
hsa00471	C02671
hsa00471	C03933
hsa00471	C05723
hsa00471	C22053
hsa00472	C00062
hsa00472	C00077
hsa00472	C00134
hsa00472	C00515
hsa00472	C00792
hsa00472	C01110
hsa00472	C01667
hsa00472	C03341
hsa00472	C03564
hsa00472	C03771
hsa00472	C03943
hsa00480	C00005
hsa00480	C00006
hsa00480	C00024
hsa00480	C00025
hsa00480	C00037
hsa00480	C00051
hsa00480	C00072
hsa00480	C00077
hsa00480	C00097
hsa00480	C00127
hsa00480	C00134
hsa00480	C00151
hsa00480	C00315
hsa00480	C00669
hsa00480	C00750
hsa00480	C01322
hsa00480	C01419
hsa00480	C01672
hsa00480	C01879
hsa00480	C02090
hsa00480	C02320
hsa00480	C03170
hsa00480	C03646
hsa00480	C03740
hsa00480	C05422
hsa00480	C05726
hsa00480	C05727
hsa00480	C05729
hsa00480	C05730
hsa00480	C16562
hsa00480	C16563
hsa00480	C16564
hsa00480	C16565
hsa00480	C16566
hsa00480	C16567
hsa00480	C16568
hsa00480	C16663
hsa00480	C16664
hsa00500	C00029
hsa00500	C00031
hsa00500	C00085
hsa00500	C00089
hsa00500	C00092
hsa00500	C00095
hsa00500	C00103
hsa00500	C00185
hsa00500	C00208
hsa00500	C00252
hsa00500	C00369
hsa00500	C00372
hsa00500	C00394
hsa00500	C00498
hsa00500	C00501
hsa00500	C00663
hsa00500	C00689
hsa00500	C00718
hsa00500	C00721
hsa00500	C00760
hsa00500	C00963
hsa00500	C00965
hsa00500	C00973
hsa00500	C01083
hsa00500	C01231
hsa00500	C01725
hsa00500	C01898
hsa00500	C01935
hsa00500	C02591
hsa00500	C02995
hsa00500	C03323
hsa00500	C04534
hsa00500	C05731
hsa00500	C06215
hsa00500	C06400
hsa00500	C16688
hsa00500	C20237
hsa00510	C00096
hsa00510	C00110
hsa00510	C00381
hsa00510	C00621
hsa00510	C01246
hsa00510	C03021
hsa00510	C03862
hsa00510	C06081
hsa00512	C02189
hsa00515	C00063
hsa00515	C00789
hsa00515	C01068
hsa00515	C02189
hsa00520	C00029
hsa00520	C00031
hsa00520	C00043
hsa00520	C00052
hsa00520	C00096
hsa00520	C00103
hsa00520	C00128
hsa00520	C00140
hsa00520	C00159
hsa00520	C00167
hsa00520	C00181
hsa00520	C00190
hsa00520	C00191
hsa00520	C00203
hsa00520	C00259
hsa00520	C00267
hsa00520	C00270
hsa00520	C00275
hsa00520	C00325
hsa00520	C00329
hsa00520	C00333
hsa00520	C00352
hsa00520	C00357
hsa00520	C00394
hsa00520	C00446
hsa00520	C00461
hsa00520	C00498
hsa00520	C00501
hsa00520	C00617
hsa00520	C00636
hsa00520	C00645
hsa00520	C00668
hsa00520	C00714
hsa00520	C00734
hsa00520	C00935
hsa00520	C00976
hsa00520	C00984
hsa00520	C00996
hsa00520	C00999
hsa00520	C01019
hsa00520	C01050
hsa00520	C01170
hsa00520	C01219
hsa00520	C01222
hsa00520	C01623
hsa00520	C01674
hsa00520	C01788
hsa00520	C02199
hsa00520	C02280
hsa00520	C02330
hsa00520	C02336
hsa00520	C02352
hsa00520	C02474
hsa00520	C02713
hsa00520	C02977
hsa00520	C02985
hsa00520	C03117
hsa00520	C03410
hsa00520	C03598
hsa00520	C03599
hsa00520	C03691
hsa00520	C03733
hsa00520	C03906
hsa00520	C04037
hsa00520	C04089
hsa00520	C04257
hsa00520	C04297
hsa00520	C04501
hsa00520	C04573
hsa00520	C04613
hsa00520	C04630
hsa00520	C04631
hsa00520	C05345
hsa00520	C05385
hsa00520	C06023
hsa00520	C06156
hsa00520	C06240
hsa00520	C06241
hsa00520	C11521
hsa00520	C13952
hsa00520	C15925
hsa00520	C16153
hsa00520	C16154
hsa00520	C16155
hsa00520	C16156
hsa00520	C16157
hsa00520	C16698
hsa00520	C17326
hsa00520	C17327
hsa00520	C17328
hsa00520	C18094
hsa00520	C19725
hsa00520	C19745
hsa00520	C19823
hsa00520	C19961
hsa00520	C19971
hsa00520	C19972
hsa00520	C20082
hsa00520	C20083
hsa00520	C20357
hsa00520	C20359
hsa00520	C20395
hsa00520	C20418
hsa00520	C20419
hsa00520	C20424
hsa00520	C20638
hsa00520	C20672
hsa00520	C21027
hsa00524	C00025
hsa00524	C00029
hsa00524	C00031
hsa00524	C00043
hsa00524	C00092
hsa00524	C00229
hsa00524	C00397
hsa00524	C00825
hsa00524	C00832
hsa00524	C00908
hsa00524	C01441
hsa00524	C01555
hsa00524	C01737
hsa00524	C01743
hsa00524	C01759
hsa00524	C01822
hsa00524	C01823
hsa00524	C01917
hsa00524	C02033
hsa00524	C02627
hsa00524	C07656
hsa00524	C12210
hsa00524	C12211
hsa00524	C15652
hsa00524	C17209
hsa00524	C17580
hsa00524	C17581
hsa00524	C17582
hsa00524	C17583
hsa00524	C17584
hsa00524	C17585
hsa00524	C17586
hsa00524	C17587
hsa00524	C17588
hsa00524	C17589
hsa00524	C17701
hsa00524	C17702
hsa00524	C17703
hsa00524	C17704
hsa00524	C17705
hsa00524	C17706
hsa00524	C17707
hsa00524	C17712
hsa00524	C17997
hsa00524	C18000
hsa00524	C18001
hsa00524	C18002
hsa00524	C18003
hsa00524	C18004
hsa00524	C18005
hsa00524	C18006
hsa00524	C18007
hsa00524	C18008
hsa00524	C18009
hsa00524	C20350
hsa00524	C20351
hsa00524	C20353
hsa00524	C20509
hsa00524	C20614
hsa00524	C20699
hsa00524	C21176
hsa00524	C21251
hsa00524	C21252
hsa00524	C21253
hsa00524	C21254
hsa00524	C21255
hsa00524	C21256
hsa00524	C21257
hsa00524	C21258
hsa00524	C21259
hsa00524	C21260
hsa00524	C21261
hsa00524	C21262
hsa00524	C21263
hsa00524	C21264
hsa00524	C21265
hsa00524	C21266
hsa00524	C21267
hsa00524	C21268
hsa00524	C21269
hsa00524	C21270
hsa00531	C00426
hsa00531	C00573
hsa00531	C00634
hsa00531	C00925
hsa00532	C00053
hsa00532	C00054
hsa00532	C00401
hsa00532	C01490
hsa00532	C02189
hsa00534	C00033
hsa00534	C00053
hsa00534	C00054
hsa00561	C00029
hsa00561	C00040
hsa00561	C00093
hsa00561	C00103
hsa00561	C00111
hsa00561	C00116
hsa00561	C00162
hsa00561	C00173
hsa00561	C00184
hsa00561	C00197
hsa00561	C00258
hsa00561	C00416
hsa00561	C00422
hsa00561	C00577
hsa00561	C00631
hsa00561	C00641
hsa00561	C00681
hsa00561	C00969
hsa00561	C01885
hsa00561	C02133
hsa00561	C02457
hsa00561	C03692
hsa00561	C04046
hsa00561	C04315
hsa00561	C04872
hsa00561	C05401
hsa00561	C06037
hsa00561	C06038
hsa00561	C06040
hsa00561	C06041
hsa00561	C06042
hsa00561	C06364
hsa00561	C06365
hsa00561	C11521
hsa00561	C13508
hsa00561	C20897
hsa00561	C20898
hsa00561	C20991
hsa00562	C00024
hsa00562	C00092
hsa00562	C00111
hsa00562	C00118
hsa00562	C00137
hsa00562	C00191
hsa00562	C00222
hsa00562	C00558
hsa00562	C00641
hsa00562	C00691
hsa00562	C01177
hsa00562	C01194
hsa00562	C01204
hsa00562	C01220
hsa00562	C01243
hsa00562	C01245
hsa00562	C01272
hsa00562	C01277
hsa00562	C01284
hsa00562	C03546
hsa00562	C03659
hsa00562	C03660
hsa00562	C04006
hsa00562	C04062
hsa00562	C04063
hsa00562	C04287
hsa00562	C04477
hsa00562	C04520
hsa00562	C04549
hsa00562	C04563
hsa00562	C04579
hsa00562	C04637
hsa00562	C05981
hsa00562	C06153
hsa00562	C06892
hsa00562	C06893
hsa00562	C11554
hsa00562	C11555
hsa00562	C11556
hsa00562	C11557
hsa00562	C16737
hsa00562	C19794
hsa00562	C19799
hsa00562	C19891
hsa00562	C20251
hsa00562	C21643
hsa00562	C21644
hsa00563	C00154
hsa00563	C00350
hsa00563	C01194
hsa00564	C00040
hsa00564	C00084
hsa00564	C00093
hsa00564	C00111
hsa00564	C00114
hsa00564	C00157
hsa00564	C00189
hsa00564	C00269
hsa00564	C00307
hsa00564	C00344
hsa00564	C00346
hsa00564	C00350
hsa00564	C00416
hsa00564	C00513
hsa00564	C00570
hsa00564	C00588
hsa00564	C00623
hsa00564	C00641
hsa00564	C00670
hsa00564	C00681
hsa00564	C01194
hsa00564	C01210
hsa00564	C01233
hsa00564	C01241
hsa00564	C01996
hsa00564	C02737
hsa00564	C03372
hsa00564	C03819
hsa00564	C03872
hsa00564	C03892
hsa00564	C03974
hsa00564	C04230
hsa00564	C04233
hsa00564	C04308
hsa00564	C04438
hsa00564	C04590
hsa00564	C04638
hsa00564	C05973
hsa00564	C05974
hsa00564	C05976
hsa00564	C05980
hsa00564	C06771
hsa00564	C06772
hsa00564	C13482
hsa00564	C18059
hsa00564	C18125
hsa00564	C18126
hsa00564	C18129
hsa00564	C18168
hsa00564	C18169
hsa00564	C20466
hsa00564	C20518
hsa00565	C00670
hsa00565	C00958
hsa00565	C01233
hsa00565	C01264
hsa00565	C02773
hsa00565	C03201
hsa00565	C03372
hsa00565	C03454
hsa00565	C03715
hsa00565	C03820
hsa00565	C03968
hsa00565	C04317
hsa00565	C04361
hsa00565	C04475
hsa00565	C04517
hsa00565	C04598
hsa00565	C04635
hsa00565	C04756
hsa00565	C05212
hsa00565	C05977
hsa00565	C15645
hsa00565	C15646
hsa00565	C15647
hsa00565	C20825
hsa00565	C20859
hsa00590	C00157
hsa00590	C00219
hsa00590	C00427
hsa00590	C00584
hsa00590	C00639
hsa00590	C00696
hsa00590	C00909
hsa00590	C01312
hsa00590	C02165
hsa00590	C02166
hsa00590	C02198
hsa00590	C03577
hsa00590	C04577
hsa00590	C04742
hsa00590	C04805
hsa00590	C04822
hsa00590	C04853
hsa00590	C05356
hsa00590	C05949
hsa00590	C05950
hsa00590	C05951
hsa00590	C05952
hsa00590	C05953
hsa00590	C05954
hsa00590	C05955
hsa00590	C05956
hsa00590	C05957
hsa00590	C05958
hsa00590	C05959
hsa00590	C05960
hsa00590	C05961
hsa00590	C05962
hsa00590	C05963
hsa00590	C05964
hsa00590	C05965
hsa00590	C05966
hsa00590	C06314
hsa00590	C06315
hsa00590	C06462
hsa00590	C13809
hsa00590	C14717
hsa00590	C14732
hsa00590	C14748
hsa00590	C14749
hsa00590	C14768
hsa00590	C14769
hsa00590	C14770
hsa00590	C14771
hsa00590	C14772
hsa00590	C14773
hsa00590	C14774
hsa00590	C14775
hsa00590	C14776
hsa00590	C14777
hsa00590	C14778
hsa00590	C14779
hsa00590	C14780
hsa00590	C14781
hsa00590	C14782
hsa00590	C14794
hsa00590	C14795
hsa00590	C14807
hsa00590	C14808
hsa00590	C14809
hsa00590	C14810
hsa00590	C14811
hsa00590	C14812
hsa00590	C14813
hsa00590	C14814
hsa00590	C14815
hsa00590	C14820
hsa00590	C14821
hsa00590	C14822
hsa00590	C14823
hsa00590	C14824
hsa00591	C00157
hsa00591	C00219
hsa00591	C01595
hsa00591	C03242
hsa00591	C04056
hsa00591	C04717
hsa00591	C06426
hsa00591	C07289
hsa00591	C07338
hsa00591	C07354
hsa00591	C14762
hsa00591	C14765
hsa00591	C14766
hsa00591	C14767
hsa00591	C14825
hsa00591	C14826
hsa00591	C14827
hsa00591	C14828
hsa00591	C14829
hsa00591	C14831
hsa00591	C14832
hsa00591	C14833
hsa00591	C14834
hsa00591	C14835
hsa00591	C14836
hsa00591	C14837
hsa00591	C19937
hsa00591	C20186
hsa00592	C00157
hsa00592	C01226
hsa00592	C04672
hsa00592	C04780
hsa00592	C04785
hsa00592	C06427
hsa00592	C08491
hsa00592	C08492
hsa00592	C11512
hsa00592	C16300
hsa00592	C16308
hsa00592	C16309
hsa00592	C16310
hsa00592	C16311
hsa00592	C16316
hsa00592	C16317
hsa00592	C16318
hsa00592	C16319
hsa00592	C16320
hsa00592	C16321
hsa00592	C16322
hsa00592	C16323
hsa00592	C16324
hsa00592	C16325
hsa00592	C16326
hsa00592	C16327
hsa00592	C16328
hsa00592	C16330
hsa00592	C16331
hsa00592	C16332
hsa00592	C16334
hsa00592	C16335
hsa00592	C16336
hsa00592	C16338
hsa00592	C16339
hsa00592	C16341
hsa00592	C16342
hsa00592	C16343
hsa00592	C16344
hsa00592	C16345
hsa00592	C16346
hsa00592	C19757
hsa00592	C21923
hsa00592	C21924
hsa00600	C00065
hsa00600	C00154
hsa00600	C00195
hsa00600	C00319
hsa00600	C00346
hsa00600	C00550
hsa00600	C00836
hsa00600	C01120
hsa00600	C01190
hsa00600	C01290
hsa00600	C01747
hsa00600	C02686
hsa00600	C02934
hsa00600	C02960
hsa00600	C03640
hsa00600	C05681
hsa00600	C06062
hsa00600	C06124
hsa00600	C06125
hsa00600	C06126
hsa00600	C06127
hsa00600	C06128
hsa00600	C12126
hsa00600	C12144
hsa00600	C12145
hsa00620	C00022
hsa00620	C00024
hsa00620	C00033
hsa00620	C00036
hsa00620	C00042
hsa00620	C00058
hsa00620	C00068
hsa00620	C00074
hsa00620	C00083
hsa00620	C00084
hsa00620	C00122
hsa00620	C00149
hsa00620	C00186
hsa00620	C00227
hsa00620	C00256
hsa00620	C00332
hsa00620	C00424
hsa00620	C00546
hsa00620	C00937
hsa00620	C01251
hsa00620	C02488
hsa00620	C02504
hsa00620	C03248
hsa00620	C03451
hsa00620	C03981
hsa00620	C05125
hsa00620	C05993
hsa00620	C05994
hsa00620	C15972
hsa00620	C15973
hsa00620	C16255
hsa00630	C00007
hsa00630	C00011
hsa00630	C00014
hsa00630	C00022
hsa00630	C00024
hsa00630	C00025
hsa00630	C00026
hsa00630	C00027
hsa00630	C00033
hsa00630	C00036
hsa00630	C00037
hsa00630	C00042
hsa00630	C00048
hsa00630	C00058
hsa00630	C00064
hsa00630	C00065
hsa00630	C00091
hsa00630	C00100
hsa00630	C00136
hsa00630	C00149
hsa00630	C00158
hsa00630	C00160
hsa00630	C00168
hsa00630	C00197
hsa00630	C00209
hsa00630	C00258
hsa00630	C00266
hsa00630	C00311
hsa00630	C00313
hsa00630	C00332
hsa00630	C00417
hsa00630	C00552
hsa00630	C00631
hsa00630	C00683
hsa00630	C00798
hsa00630	C00877
hsa00630	C00888
hsa00630	C00898
hsa00630	C00975
hsa00630	C00988
hsa00630	C01127
hsa00630	C01146
hsa00630	C01182
hsa00630	C01213
hsa00630	C01380
hsa00630	C01732
hsa00630	C01989
hsa00630	C01990
hsa00630	C02123
hsa00630	C02405
hsa00630	C03217
hsa00630	C03459
hsa00630	C03548
hsa00630	C03561
hsa00630	C03618
hsa00630	C04348
hsa00630	C06027
hsa00630	C06028
hsa00630	C06049
hsa00630	C18026
hsa00630	C18324
hsa00630	C20238
hsa00640	C00024
hsa00640	C00033
hsa00640	C00042
hsa00640	C00068
hsa00640	C00083
hsa00640	C00091
hsa00640	C00099
hsa00640	C00100
hsa00640	C00109
hsa00640	C00111
hsa00640	C00132
hsa00640	C00163
hsa00640	C00164
hsa00640	C00186
hsa00640	C00207
hsa00640	C00222
hsa00640	C00332
hsa00640	C00424
hsa00640	C00479
hsa00640	C00546
hsa00640	C00583
hsa00640	C00683
hsa00640	C00804
hsa00640	C00827
hsa00640	C00894
hsa00640	C01013
hsa00640	C01213
hsa00640	C01845
hsa00640	C02170
hsa00640	C02225
hsa00640	C02335
hsa00640	C02876
hsa00640	C04225
hsa00640	C04593
hsa00640	C05235
hsa00640	C05668
hsa00640	C05979
hsa00640	C05983
hsa00640	C05984
hsa00640	C05989
hsa00640	C06002
hsa00640	C15972
hsa00640	C15973
hsa00640	C17530
hsa00640	C20783
hsa00640	C21017
hsa00640	C21018
hsa00640	C21250
hsa00650	C00022
hsa00650	C00024
hsa00650	C00025
hsa00650	C00026
hsa00650	C00042
hsa00650	C00091
hsa00650	C00122
hsa00650	C00136
hsa00650	C00164
hsa00650	C00232
hsa00650	C00246
hsa00650	C00332
hsa00650	C00334
hsa00650	C00356
hsa00650	C00497
hsa00650	C00741
hsa00650	C00810
hsa00650	C00877
hsa00650	C00989
hsa00650	C01089
hsa00650	C01144
hsa00650	C01384
hsa00650	C01412
hsa00650	C01769
hsa00650	C02331
hsa00650	C02411
hsa00650	C02527
hsa00650	C02630
hsa00650	C03044
hsa00650	C03046
hsa00650	C03058
hsa00650	C03561
hsa00650	C04546
hsa00650	C06010
hsa00650	C06142
hsa00650	C06143
hsa00650	C06144
hsa00650	C06145
hsa00650	C06146
hsa00650	C11062
hsa00650	C20657
hsa00650	C21390
hsa00670	C00101
hsa00670	C00143
hsa00670	C00234
hsa00670	C00415
hsa00670	C00440
hsa00670	C00445
hsa00670	C00504
hsa00670	C00664
hsa00670	C03479
hsa00730	C00003
hsa00730	C00018
hsa00730	C00022
hsa00730	C00037
hsa00730	C00068
hsa00730	C00082
hsa00730	C00097
hsa00730	C00118
hsa00730	C00378
hsa00730	C01081
hsa00730	C01279
hsa00730	C02892
hsa00730	C03028
hsa00730	C03373
hsa00730	C04294
hsa00730	C04327
hsa00730	C04556
hsa00730	C04752
hsa00730	C05856
hsa00730	C11437
hsa00730	C15809
hsa00730	C15810
hsa00730	C15811
hsa00730	C15812
hsa00730	C15813
hsa00730	C15814
hsa00730	C19872
hsa00730	C20246
hsa00730	C20247
hsa00730	C20267
hsa00730	C20784
hsa00740	C00016
hsa00740	C00044
hsa00740	C00061
hsa00740	C00199
hsa00740	C00255
hsa00740	C00474
hsa00740	C01007
hsa00740	C01268
hsa00740	C01304
hsa00740	C01352
hsa00740	C01727
hsa00740	C01847
hsa00740	C03114
hsa00740	C04332
hsa00740	C04454
hsa00740	C04732
hsa00740	C05995
hsa00740	C15556
hsa00740	C15563
hsa00740	C18910
hsa00750	C00018
hsa00750	C00118
hsa00750	C00199
hsa00750	C00232
hsa00750	C00250
hsa00750	C00266
hsa00750	C00279
hsa00750	C00314
hsa00750	C00534
hsa00750	C00627
hsa00750	C00647
hsa00750	C00847
hsa00750	C00971
hsa00750	C01215
hsa00750	C01270
hsa00750	C03393
hsa00750	C04106
hsa00750	C04604
hsa00750	C04690
hsa00750	C04773
hsa00750	C06050
hsa00750	C06051
hsa00750	C06052
hsa00750	C06054
hsa00750	C06055
hsa00750	C06056
hsa00750	C07335
hsa00750	C11638
hsa00760	C00003
hsa00760	C00006
hsa00760	C00022
hsa00760	C00042
hsa00760	C00049
hsa00760	C00111
hsa00760	C00122
hsa00760	C00153
hsa00760	C00163
hsa00760	C00232
hsa00760	C00253
hsa00760	C00334
hsa00760	C00455
hsa00760	C00857
hsa00760	C00922
hsa00760	C01004
hsa00760	C01020
hsa00760	C01056
hsa00760	C01059
hsa00760	C01185
hsa00760	C01297
hsa00760	C01384
hsa00760	C01596
hsa00760	C02295
hsa00760	C02918
hsa00760	C02930
hsa00760	C03043
hsa00760	C03056
hsa00760	C03150
hsa00760	C03458
hsa00760	C03652
hsa00760	C03722
hsa00760	C04226
hsa00760	C05380
hsa00760	C05840
hsa00760	C05841
hsa00760	C05842
hsa00760	C05843
hsa00760	C06178
hsa00760	C15523
hsa00760	C15986
hsa00760	C15987
hsa00760	C16150
hsa00760	C16151
hsa00760	C16152
hsa00760	C16159
hsa00760	C16390
hsa00760	C18232
hsa00760	C19567
hsa00760	C19569
hsa00760	C19631
hsa00760	C20361
hsa00760	C20381
hsa00760	C21075
hsa00760	C21154
hsa00770	C00010
hsa00770	C00022
hsa00770	C00049
hsa00770	C00054
hsa00770	C00097
hsa00770	C00099
hsa00770	C00106
hsa00770	C00141
hsa00770	C00183
hsa00770	C00229
hsa00770	C00429
hsa00770	C00522
hsa00770	C00831
hsa00770	C00864
hsa00770	C00882
hsa00770	C00966
hsa00770	C01053
hsa00770	C01088
hsa00770	C01134
hsa00770	C02642
hsa00770	C03492
hsa00770	C03688
hsa00770	C04079
hsa00770	C04272
hsa00770	C04352
hsa00770	C05944
hsa00770	C06010
hsa00770	C18911
hsa00780	C00047
hsa00780	C00086
hsa00780	C00120
hsa00780	C01037
hsa00780	C01063
hsa00780	C01092
hsa00780	C01209
hsa00780	C01894
hsa00780	C01909
hsa00780	C02656
hsa00780	C05552
hsa00780	C05921
hsa00780	C06250
hsa00780	C19673
hsa00780	C19845
hsa00780	C19846
hsa00780	C20372
hsa00780	C20373
hsa00780	C20374
hsa00780	C20375
hsa00780	C20376
hsa00780	C20377
hsa00780	C20378
hsa00780	C20384
hsa00780	C20385
hsa00780	C20386
hsa00780	C20387
hsa00780	C20683
hsa00785	C01944
hsa00785	C02051
hsa00785	C02147
hsa00785	C02972
hsa00785	C05752
hsa00785	C06423
hsa00785	C15972
hsa00785	C15973
hsa00785	C16238
hsa00785	C16241
hsa00785	C22159
hsa00785	C22160
hsa00785	C22161
hsa00790	C00044
hsa00790	C00101
hsa00790	C00119
hsa00790	C00156
hsa00790	C00251
hsa00790	C00266
hsa00790	C00268
hsa00790	C00272
hsa00790	C00415
hsa00790	C00504
hsa00790	C00568
hsa00790	C00835
hsa00790	C00921
hsa00790	C01217
hsa00790	C01300
hsa00790	C01304
hsa00790	C02587
hsa00790	C02953
hsa00790	C03541
hsa00790	C03684
hsa00790	C04244
hsa00790	C04807
hsa00790	C04874
hsa00790	C04895
hsa00790	C05922
hsa00790	C05923
hsa00790	C05924
hsa00790	C05925
hsa00790	C05926
hsa00790	C05927
hsa00790	C06148
hsa00790	C09332
hsa00790	C11355
hsa00790	C15522
hsa00790	C15996
hsa00790	C16675
hsa00790	C18237
hsa00790	C18239
hsa00790	C18802
hsa00790	C19848
hsa00790	C19871
hsa00790	C20239
hsa00790	C20248
hsa00790	C20264
