pathway	compound
hsa00061	C05746
hsa00061	C05747
hsa00061	C05748
hsa00061	C05749
hsa00061	C05750
hsa00061	C05751
hsa00061	C05752
hsa00061	C05753
hsa00061	C05754
hsa00061	C05755
hsa00061	C05756
hsa00061	C05757
hsa00061	C05758
hsa00061	C05759
hsa00061	C05760
hsa00061	C05761
hsa00061	C05762
hsa00061	C05763
hsa00061	C05764
hsa00061	C06423
hsa00061	C06424
hsa00061	C08362
hsa00061	C16219
hsa00061	C16220
hsa00061	C16221
hsa00061	C16520
hsa00061	C20794
hsa00062	C00024
hsa00062	C00040
hsa00062	C00083
hsa00062	C00136
hsa00062	C00154
hsa00062	C00249
hsa00062	C00264
hsa00062	C00638
hsa00062	C00640
hsa00062	C00658
hsa00062	C01832
hsa00062	C01944
hsa00062	C02593
hsa00062	C02843
hsa00062	C03221
hsa00062	C05258
hsa00062	C05259
hsa00062	C05260
hsa00062	C05261
hsa00062	C05262
hsa00062	C05263
hsa00062	C05264
hsa00062	C05265
hsa00062	C05266
hsa00062	C05267
hsa00062	C05268
hsa00062	C05269
hsa00062	C05270
hsa00062	C05271
hsa00062	C05272
hsa00062	C05273
hsa00062	C05274
hsa00062	C05275
hsa00062	C05276
hsa00062	C20876
hsa00062	C20877
hsa00062	C20878
hsa00062	C20879
hsa00071	C00010
hsa00071	C00024
hsa00071	C00071
hsa00071	C00136
hsa00071	C00154
hsa00071	C00162
hsa00071	C00226
hsa00071	C00229
hsa00071	C00249
hsa00071	C00332
hsa00071	C00340
hsa00071	C00435
hsa00071	C00489
hsa00071	C00517
hsa00071	C00527
hsa00071	C00638
hsa00071	C00823
hsa00071	C00877
hsa00071	C01144
hsa00071	C01371
hsa00071	C01832
hsa00071	C01944
hsa00071	C02593
hsa00071	C02990
hsa00071	C03221
hsa00071	C03547
hsa00071	C03561
hsa00071	C05102
hsa00071	C05258
hsa00071	C05259
hsa00071	C05260
hsa00071	C05261
hsa00071	C05262
hsa00071	C05263
hsa00071	C05264
hsa00071	C05265
hsa00071	C05266
hsa00071	C05267
hsa00071	C05268
hsa00071	C05269
hsa00071	C05270
hsa00071	C05271
hsa00071	C05272
hsa00071	C05273
hsa00071	C05274
hsa00071	C05275
hsa00071	C05276
hsa00071	C05279
hsa00071	C05280
hsa00071	C20683
hsa00072	C00024
hsa00072	C00164
hsa00072	C00207
hsa00072	C00332
hsa00072	C00356
hsa00072	C01089
hsa00100	C00187
hsa00100	C00448
hsa00100	C00751
hsa00100	C01054
hsa00100	C01164
hsa00100	C01189
hsa00100	C01561
hsa00100	C01673
hsa00100	C01694
hsa00100	C01724
hsa00100	C01753
hsa00100	C01789
hsa00100	C01802
hsa00100	C01902
hsa00100	C01943
hsa00100	C02141
hsa00100	C02530
hsa00100	C03428
hsa00100	C03845
hsa00100	C04525
hsa00100	C05103
hsa00100	C05107
hsa00100	C05108
hsa00100	C05109
hsa00100	C05437
hsa00100	C05439
hsa00100	C05440
hsa00100	C05441
hsa00100	C05442
hsa00100	C05443
hsa00100	C07712
hsa00100	C08813
hsa00100	C08821
hsa00100	C08830
hsa00100	C11455
hsa00100	C11508
hsa00100	C11522
hsa00100	C11523
hsa00100	C15776
hsa00100	C15777
hsa00100	C15778
hsa00100	C15780
hsa00100	C15781
hsa00100	C15782
hsa00100	C15783
hsa00100	C15808
hsa00100	C15816
hsa00100	C15915
hsa00100	C18231
hsa00100	C21106
hsa00100	C22112
hsa00100	C22116
hsa00100	C22119
hsa00100	C22120
hsa00100	C22121
hsa00100	C22122
hsa00100	C22123
hsa00100	C22136
hsa00120	C00037
hsa00120	C00187
hsa00120	C00245
hsa00120	C00695
hsa00120	C01301
hsa00120	C01794
hsa00120	C01921
hsa00120	C02528
hsa00120	C03594
hsa00120	C04554
hsa00120	C04722
hsa00120	C05122
hsa00120	C05337
hsa00120	C05444
hsa00120	C05445
hsa00120	C05446
hsa00120	C05447
hsa00120	C05448
hsa00120	C05449
hsa00120	C05451
hsa00120	C05452
hsa00120	C05453
hsa00120	C05454
hsa00120	C05455
hsa00120	C05460
hsa00120	C05465
hsa00120	C05466
hsa00120	C05467
hsa00120	C05468
hsa00120	C06341
hsa00120	C13550
hsa00120	C15518
hsa00120	C15519
hsa00120	C15520
hsa00120	C15610
hsa00120	C15613
hsa00120	C15614
hsa00120	C17331
hsa00120	C17332
hsa00120	C17333
hsa00120	C17335
hsa00120	C17336
hsa00120	C17337
hsa00120	C17339
hsa00120	C17343
hsa00120	C17345
hsa00120	C17346
hsa00130	C00082
