pathway	geneid
ame00230	409299
ame00230	409422
ame00230	409444
ame00230	409460
ame00230	409534
ame00230	409846
ame00230	409861
ame00230	410379
ame00230	410482
ame00230	410525
ame00230	410539
ame00230	410630
ame00230	410676
ame00230	411288
ame00230	411635
ame00230	411897
ame00230	412362
ame00230	412467
ame00230	412573
ame00230	412619
ame00230	412632
ame00230	412782
ame00230	413048
ame00230	413274
ame00230	413601
ame00230	414008
ame00230	414021
ame00230	550673
ame00230	550987
ame00230	551373
ame00230	551448
ame00230	551461
ame00230	551523
ame00230	551770
ame00230	551856
ame00230	551966
ame00230	552007
ame00230	552023
ame00230	552216
ame00230	552316
ame00230	552511
ame00230	552535
ame00230	552583
ame00230	552657
ame00230	724131
ame00230	724389
ame00230	724571
ame00230	724603
ame00230	724681
ame00230	724718
ame00230	724933
ame00230	725299
ame00230	725409
ame00230	725673
ame00230	726069
ame00230	726205
ame00230	726262
ame00230	726444
ame00230	726514
ame00230	727293
ame00230	727534
ame00232	724718
ame00232	724933
ame00240	100577081
ame00240	100578311
ame00240	102654653
ame00240	408299
ame00240	408461
ame00240	408474
ame00240	408883
ame00240	409250
ame00240	409861
ame00240	410076
ame00240	410207
ame00240	410408
ame00240	410539
ame00240	411599
ame00240	412233
ame00240	412782
ame00240	414008
ame00240	550987
ame00240	551373
ame00240	551770
ame00240	551835
ame00240	551948
ame00240	551983
ame00240	552148
ame00240	724131
ame00240	724681
ame00240	725409
ame00240	725673
ame00240	726444
ame00240	727234
ame00250	100576186
ame00250	100578894
ame00250	102655798
ame00250	406107
ame00250	408432
ame00250	408509
ame00250	408955
ame00250	408991
ame00250	409196
ame00250	409253
ame00250	409299
ame00250	410066
ame00250	410408
ame00250	410482
ame00250	412177
ame00250	412305
ame00250	412619
ame00250	412675
ame00250	412923
ame00250	413372
ame00250	413678
ame00250	551113
ame00250	551670
ame00250	551760
ame00250	552692
ame00250	724480
ame00250	727622
ame00260	100576186
ame00260	100577053
ame00260	102655391
ame00260	113219111
ame00260	406081
ame00260	408603
ame00260	409058
ame00260	410042
ame00260	410432
ame00260	410550
ame00260	410733
ame00260	410734
ame00260	410747
ame00260	411140
ame00260	411541
ame00260	411796
ame00260	411916
ame00260	412460
ame00260	412670
ame00260	412674
ame00260	413228
ame00260	413678
ame00260	413885
ame00260	551039
ame00260	551044
ame00260	551341
ame00260	552425
ame00260	552457
ame00260	552523
ame00260	552736
ame00260	552832
ame00260	725967
ame00260	726236
ame00260	726367
ame00270	100328599
ame00270	100576186
ame00270	100576801
ame00270	100578132
ame00270	408368
ame00270	408950
ame00270	409023
ame00270	410080
ame00270	410798
ame00270	411014
ame00270	411187
ame00270	411188
ame00270	411189
ame00270	411372
ame00270	411809
ame00270	412460
ame00270	412610
ame00270	412670
ame00270	412675
ame00270	412889
ame00270	413735
ame00270	550789
ame00270	551102
ame00270	551341
ame00270	551724
ame00270	551762
ame00270	551839
ame00270	552014
ame00270	552740
ame00270	724811
ame00270	725099
ame00270	725204
ame00270	725281
ame00270	725482
ame00270	725816
ame00270	725967
ame00270	726371
ame00270	726540
ame00270	726838
ame00270	727622
ame00280	100576186
ame00280	102655391
ame00280	408288
ame00280	408291
ame00280	408559
ame00280	408567
ame00280	408955
ame00280	409150
ame00280	409157
ame00280	409306
ame00280	409494
