samle1	samle1	Group
AG1	AG1	A1
AG2	AG2	A1
AG3	AG3	A1
AG4	AG4	A1
AG5	AG5	A1
AG6	AG6	A1
AG31	AG31	A2
AG32	AG32	A2
AG33	AG33	A2
AG34	AG34	A2
AG35	AG35	A2
AG36	AG36	A2
AG7	AG7	A3
AG8	AG8	A3
AG9	AG9	A3
AG10	AG10	A3
AG11	AG11	A3
AG12	AG12	A3
QCA06	QCA06	
QCA07	QCA07	
QCA08	QCA08	
QCA09	QCA09	
QCA10	QCA10	
QCA11	QCA11	
QCA12	QCA12	
QCA13	QCA13	
QCA14	QCA14	
QCA15	QCA15	
QCA16	QCA16	
