ID	metabolite	A148_1	A138_1	A126_1	A137_1	A152_1	A145_1	A127_1	A162_1	A132_1	A141_1	A121_1	A164_1	A128_1	A124_1	A131_1	A151_1	A146_1	A142_1	A149_1	A134_1	A157_1	A159_1	A155_1	A161_1	A156_1	A139_1	A130_1	A167_1	A123_1	A147_1	A133_1	A129_1	A160_1	A125_1	A158_1	A163_1	A135_1	A165_1	A168_1	A122_1	A140_1	A150_1	A144_1	A136_1	A166_1	A143_1	A154_1	A153_1
id67	Aminomalonic acid	NA	NA	NA	NA	NA	NA	NA	13027.445	18192.366	NA	20711.457	NA	24555.612	NA	20235.463	NA	26410.67	NA	22807.218	17417.95	20416.142	NA	14310.299	NA	17672.14	NA	23783.516	19604.678	36970.525	33502.802	NA	32918.88	NA	38587.744	NA	NA	9834.996	NA	21651.384	38326.466	NA	38936.187	NA	NA	NA	NA	21526.254	23838.306
id68	Citramalic acid	16290.747	9789.547	15350.853	12516.623	21240.068	30117.346	16697.496	18840.212	25567.702	734.384	36331.333	21312.41	29443.325	33567.903	29665.246	35326.49	46080.471	23662.323	47934.569	22584.409	18914.456	22472.616	27365.292	22956.068	34054.346	21596.481	33580.926	24658.895	35112.077	41739.821	24048.775	34427.491	28407.72	37734.38	25972.212	26472.333	25182.705	23959.196	26622.095	36651.834	24590.26	40162.016	22436.928	27742.271	23546.759	21171.743	44786.726	39753.258
id69	L-Malic acid	7965457.91	9874532.35	21614735.8	9584809.23	4573580.41	4652180.13	8514700.94	7421786.46	4221329.72	5573703.69	5692515.1	4921452.49	10200998.7	18993295.3	8624613.51	8666061.6	8641706.9	5949056.72	9447061.43	9932290.58	8351492.98	5474678.5	9121750.39	4239054.09	9228210.33	7742956.29	5879587.23	6480606.29	5675518.23	8265927.23	7396159.5	5966002.96	7397974.76	18751903.7	3949944.27	5018566.89	8253517.24	4468872.48	7338836.72	17985292.4	6412290.59	5543399.36	4769774.03	10515103.5	3708639.07	5170203.56	4059212.87	30298615.5
id70	Threitol	29541.879	35950.954	94496.619	16524.878	62344.055	37419.987	147901.313	13516.045	59932.773	16691.033	107235.885	7471.343	56058.186	145939.723	110712.018	100006.567	90405.683	13109.066	35106.723	51383.316	15117.142	6569.667	57076.368	6921.163	61223.678	17704.079	64392.947	8373.116	103547.713	32266.99	48099.487	189720.872	10697.822	90308.126	19237.038	8374.362	19958.9	10391.698	52663.177	4152446.15	15654.154	21229.475	14526.564	33384.874	8113.48	39022.039	30696.296	50852.974
id71	4-hydroxybenzaldehyde 1	73685.978	NA	303978.74	NA	27105.394	61723.012	275118.366	NA	46470.898	NA	309788.463	NA	79238.287	324484.319	282501.464	136314.41	48025.467	NA	121353.601	NA	NA	NA	143739.48	NA	25047.564	NA	221846.951	NA	261758.671	172488.446	NA	79707.51	NA	311808.001	NA	NA	NA	NA	NA	247563.823	NA	50713.695	NA	NA	NA	NA	30135.985	NA
id72	salicylic acid	NA	NA	22813	NA	4749.79	NA	12253.715	NA	NA	NA	21182.758	NA	17991.245	31332.142	14721.917	24459.537	9465.714	NA	23367.246	NA	NA	NA	NA	NA	6130.974	NA	17810.124	NA	32709.705	30342.123	NA	NA	NA	29419.295	NA	NA	4087.765	NA	NA	21092.004	NA	9287.61	NA	NA	NA	NA	NA	24368.017
id73	aspartic acid 1	571049.98	23956.898	1274439.82	29858.99	358372.675	1036197.75	1004452.8	80479.069	298514.904	10202.386	630610.301	54372.599	838316.215	1130362.79	816472.101	1201289.06	1522126.6	16789.387	2021314.3	128950.798	410991.482	88141.647	1137228.32	26719.867	737989.659	48503.645	791675.919	368581.535	2845392.06	4594487.72	50183.764	312063.941	126150.456	1804630.44	50210.07	89943.024	60336.957	104905.802	351877.866	717978.75	65800.801	1380602.26	8111.566	161137.431	55903.67	18454.944	687215.874	1765356.68
id74	oxoproline	3117245.31	3954749.87	3147471.88	3451662.65	1689148.32	8096879.4	5506278.44	3135982.1	1403973.48	1835790.18	3564437.05	2506020.99	4278069.47	4551093.64	4007097.25	5723804.52	4022441.58	1906158.62	6734252.11	3611050.11	5485280.29	2618675.04	5095242.9	1495925.04	2656810.37	2506584.83	4339292.72	4945027.08	4443578.29	6585199.62	2436200.96	1486572.68	2330519.79	4295719.66	1321792.63	2301417.64	2203776.65	2476446.29	4637182.36	2466208.19	2692870.25	2399232.58	1112706.65	3623511.14	1631295.87	1049689.1	2654024.79	4678693.6
id75	4-aminobutyric acid 1	6583418.7	6559937.45	12945195.5	5722587.07	10448190.5	13605620	15046951.1	11530710.9	13426842.5	4210901.98	15320613.5	7392268.34	14645247.7	16841948	13963766.6	17135088.9	15108268.2	5397353.28	13136651.5	8938835.22	13639220.3	9071746.63	14695294.3	5978411.45	14707661.7	6692967.64	15474705.9	11402744	3396802.61	21772614.9	10666960.6	13832152.7	14636618.5	18448901.5	9373536.94	6976898.77	6152374.9	9721624.6	13240149.2	16620188.2	7901896.23	16823084.8	3850187.41	10128208.7	8623481.52	4548177.47	13399904.6	12291630.8
id76	4-aminobutyric acid 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	688847.699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
id77	trans-4-hydroxy-L-proline 2	NA	12641.729	13989.523	17110.28	9039.185	15942.356	12436.171	NA	12840.783	4083.937	21509.426	NA	19143.477	17229.751	14861.359	13837.783	13872.257	NA	13226.954	NA	NA	NA	NA	NA	7344.4	11798.519	21117.795	NA	16650.972	NA	NA	NA	NA	17023.447	NA	NA	9853.174	NA	NA	21451.451	NA	NA	NA	13762.848	NA	NA	9008.533	11802.698
id78	4-Hydroxyquinazoline	NA	54843.094	78838.744	62134.886	139189.296	239133.451	107341.791	37297.43	144819.237	50430.034	81286.348	41920.076	88263.646	102745.883	89964.898	90378.536	82683.208	70570.94	39376.874	56136.603	48130.914	34354.505	166019.86	29449.476	35819.5	75588.341	105517.948	57930.324	76833.127	107242.564	50539.26	25502.554	34998.923	107462.336	27630.404	40008.311	54044.963	38933.696	53131.333	NA	58407.711	NA	43337.535	43684.619	41700.868	49927.337	118459.642	48554.735
id79	Maleamate 1	NA	871.955	213839.03	1190.434	165848.514	136223.328	287842.429	20790.551	297086.283	798.786	165139.71	NA	267641.466	296436.849	129021.612	166816.551	152003.814	NA	161637.752	6050.432	208688.17	10923.666	93598.385	2676.143	41219.494	17988.286	293445.927	88315.549	288513.401	440111.113	3173.047	84935.574	17923.225	468006.551	9279.752	49139.875	3688.385	32020.592	188111.011	91773.085	9479.452	58842.442	4772.026	23006.333	12302.88	8340.422	154545.738	149537.119
id80	N-Methyl-L-glutamic acid 2	24805.247	94252.802	71666.747	82167.581	202739.479	84952.513	100957.972	77963.274	229866.081	90275.272	109873.199	90083.787	87587.457	122536.955	120015.577	108723.575	NA	91279.806	45966.096	73595.985	91478.437	85596.173	117558.987	83083.703	27867.617	90228.937	158506.817	103587.012	138842.886	177903.991	90216.566	14232.806	85535.817	174128.361	87938.899	87062.579	78831.321	75895.092	98950.477	80408.546	73592.911	36519.365	71767.02	73984.748	73072.822	73504.848	177529.247	41091.534
id81	Menthone 1	11630.967	NA	14110.448	NA	18324.646	21575.81	18100.74	NA	28766.106	NA	16339.553	NA	24158.059	17287.102	19294.841	17071.337	8014.088	NA	6812.345	NA	NA	NA	13982.122	NA	5132.08	NA	18364.495	NA	17662.044	18682.133	NA	4131.165	NA	15495.192	NA	NA	NA	NA	NA	15415.864	NA	NA	NA	NA	NA	NA	13306.511	9750.599
id82	Threonic acid	278672.086	105289.168	287507.695	72754.37	381569.741	341391.267	228433.032	143756.778	253242.56	84309.141	288651.12	106529.222	271559.5	333326.43	240659.226	251328.244	223416.738	90499.531	186167.945	68054.823	155817.537	67198.895	220083.561	80120.653	202016.669	77558.247	272412.744	125801.229	336802.32	509763.589	86179.913	131562.972	108634.008	335272.995	238554.752	108500.259	59614.008	100773.881	223628.858	228450.115	70317.4	132208.547	65613.028	85560.339	110490.242	91312.82	305866.586	132172.406
id83	phenylalanine 2	444980.592	162779.393	600420.906	109198.552	547312.288	744265.998	373523.652	162590.422	472576.412	102869.305	453094.982	135685.732	396644.956	473860.926	349181.114	394828.904	112106.15	NA	92304.973	102860.663	113858.188	109583.082	253654.964	84401.807	366395.574	110395.183	337385.71	106016.119	370124.92	393666.022	123879.849	39594.543	123947.989	280103.921	98330.589	106352.821	53752.87	92250.438	116512.372	313565.666	90049.77	117183	36450.343	80160.583	87689.665	47104.587	357764.1	NA
id84	2-hydroxy-3-isopropylbutanedioic acid	42404.984	7271.981	32166.741	4709.237	37498.708	34635.011	37466.868	6893.994	47557.522	NA	32043.853	NA	44612.021	35524.496	38571.732	37089.552	52221.669	4592.091	NA	4500.939	NA	4019.925	34448.263	NA	52008.232	NA	NA	NA	33145.447	30977.948	7678.6	62852.4	NA	31851.517	3987.551	NA	NA	NA	NA	NA	NA	52721.995	NA	NA	NA	NA	NA	NA
