time	n.risk	n.event	n.censor	surv	std.err	upper	lower	strata	risk_group
0	70	6	0	0.914285714285714	0.03659625273557	0.982274162846386	0.851003109890069	risk_group=High	High
28	64	0	1	0.914285714285714	0.03659625273557	0.982274162846386	0.851003109890069	risk_group=High	High
30	63	1	0	0.899773242630385	0.039941233072282	0.973040939913911	0.832022430860131	risk_group=High	High
31	62	4	0	0.84172335600907	0.0520350761661273	0.932098298544939	0.760111041032024	risk_group=High	High
59	58	0	2	0.84172335600907	0.0520350761661273	0.932098298544939	0.760111041032024	risk_group=High	High
61	56	1	0	0.826692581794622	0.0550665458903134	0.920909110430831	0.742115174074597	risk_group=High	High
89	55	1	0	0.811661807580175	0.058043301189632	0.909455928693045	0.724383523268745	risk_group=High	High
90	54	1	1	0.796631033365727	0.0609789375339854	0.897764826948693	0.706890027623698	risk_group=High	High
122	52	2	0	0.765991378236276	0.0669900111360229	0.87346575395733	0.67174103721183	risk_group=High	High
123	50	1	0	0.750671550671551	0.0699701711968078	0.861010950184651	0.654472253653431	risk_group=High	High
150	49	1	0	0.735351723106825	0.0729451501152599	0.848371633348949	0.637388304158162	risk_group=High	High
153	48	2	1	0.704712067977374	0.0789100248814248	0.822583594362791	0.603730857454859	risk_group=High	High
181	45	1	0	0.689051799800099	0.082047806380412	0.809265620318276	0.586695357972855	risk_group=High	High
183	44	1	0	0.673391531622824	0.085207885539152	0.79578680571191	0.569821152608419	risk_group=High	High
212	43	2	0	0.642070995268274	0.091623215982653	0.768374377887374	0.536529034320844	risk_group=High	High
214	41	2	0	0.610750458913724	0.0982119923715556	0.740392484037938	0.503808630024141	risk_group=High	High
215	39	2	0	0.579429922559174	0.105031408786095	0.71187512266368	0.471626307013889	risk_group=High	High
242	37	1	0	0.563769654381899	0.108546522663523	0.697423638553078	0.455729065710034	risk_group=High	High
243	36	1	1	0.548109386204624	0.11214275891021	0.682846878943974	0.439957929822008	risk_group=High	High
273	34	1	0	0.531988521904488	0.116048541452021	0.667856196356165	0.42376156571166	risk_group=High	High
275	33	1	0	0.515867657604352	0.120059292310554	0.652729070842468	0.407702754557453	risk_group=High	High
303	32	1	0	0.499746793304216	0.124186545914765	0.637467129489045	0.391779977138631	risk_group=High	High
304	31	2	0	0.467505064703944	0.132841982410685	0.6065430357568	0.360338793192366	risk_group=High	High
305	29	1	0	0.451384200403808	0.137399124394578	0.590881918393458	0.344819650139494	risk_group=High	High
306	28	1	0	0.435263336103672	0.142131174297366	0.575088073850969	0.329435055899271	risk_group=High	High
335	27	2	0	0.4030216075034	0.152198008101654	0.543099634222429	0.299072961717559	risk_group=High	High
365	25	1	0	0.386900743203264	0.157578235606247	0.526902672413663	0.284098359959954	risk_group=High	High
366	24	2	0	0.354659014602992	0.16917085778779	0.494093906934389	0.254573098097055	risk_group=High	High
457	22	0	1	0.354659014602992	0.16917085778779	0.494093906934389	0.254573098097055	risk_group=High	High
486	21	1	0	0.337770490098088	0.176067406142105	0.47696943742613	0.239195418047664	risk_group=High	High
489	20	1	0	0.320881965593183	0.183388414173244	0.45966962918767	0.223998344256299	risk_group=High	High
518	19	1	0	0.303993441088279	0.19119436984693	0.442190243552507	0.20898699953727	risk_group=High	High
608	18	1	0	0.287104916583375	0.199557663138687	0.424526124026713	0.194167634124584	risk_group=High	High
638	17	0	1	0.287104916583375	0.199557663138687	0.424526124026713	0.194167634124584	risk_group=High	High
671	16	1	0	0.269160859296914	0.209737759080334	0.406014001241673	0.178436132635558	risk_group=High	High
699	15	0	1	0.269160859296914	0.209737759080334	0.406014001241673	0.178436132635558	risk_group=High	High
730	14	0	1	0.269160859296914	0.209737759080334	0.406014001241673	0.178436132635558	risk_group=High	High
792	13	1	1	0.248456177812536	0.224499852993931	0.385784186029466	0.160012967168383	risk_group=High	High
822	11	1	0	0.225869252556851	0.243907960274374	0.364310716776726	0.1400368336731	risk_group=High	High
854	10	1	0	0.203282327301166	0.26571075288049	0.342194501638034	0.120760866685957	risk_group=High	High
915	9	1	0	0.18069540204548	0.29067351631204	0.319424958727163	0.102217523798028	risk_group=High	High
973	8	1	0	0.158108476789795	0.319919108435787	0.295985743677404	0.0844577516545359	risk_group=High	High
1157	7	0	1	0.158108476789795	0.319919108435787	0.295985743677404	0.0844577516545359	risk_group=High	High
1216	6	0	2	0.158108476789795	0.319919108435787	0.295985743677404	0.0844577516545359	risk_group=High	High
1431	4	1	0	0.118581357592347	0.430907843135492	0.27593439554487	0.0509597157711258	risk_group=High	High
1551	3	0	1	0.118581357592347	0.430907843135492	0.27593439554487	0.0509597157711258	risk_group=High	High
1642	2	1	0	0.0592906787961733	0.828058916548625	0.300490986919367	0.0116988021110074	risk_group=High	High
2220	1	0	1	0.0592906787961733	0.828058916548625	0.300490986919367	0.0116988021110074	risk_group=High	High
