geneid	genesymbol	count
100302233	HSA-MIR-1268	4
100302233	HSA-MIR-1268A	5
100302131	MIR302F	1
100302131	MIRN302F	2
100302131	HSA-MIR-302F	3
102465837	MIR7849	1
102465837	HSA-MIR-7849	2
692234	SNORD103A	1
692234	U103	2
677819	SNORA37	1
677819	ACA37	2
693140	MIR555	1
693140	MIRN555	2
693140	HSA-MIR-555	3
100033430	SNORD116-18	1
100033430	HBII-85-18	2
693204	MIR619	1
693204	MIRN619	2
693204	HSA-MIR-619	3
780852	SNORD3B-2	1
780852	U3-2B	2
780852	U3B2	3
102466874	MIR8057	1
102466874	HSA-MIR-8057	2
677772	SCARNA6	1
677772	U88	2
6083	SNORD21	1
6083	RNU21	2
6083	U21	3
100616269	MIR4639	1
100422843	MIR4293	1
102465803	MIR7706	1
102465803	HSA-MIR-7706	2
100302111	MIR1184-1	1
100302111	MIR1184	2
100302111	MIRN1184	3
100302111	HSA-MIR-1184	4
100302111	HSA-MIR-1184-1	5
677773	SCARNA23	1
677773	ACA12	2
338428	SNORD109A	1
338428	HBII-438A	2
100616476	MIR4446	1
100616476	MIR-4446	2
100302279	MIR1262	1
100302279	MIRN1262	2
100302279	HSA-MIR-1262	3
100302279	MIR-1262	4
100616312	MIR4478	1
100616312	MIR-4478	2
100033431	SNORD116-20	1
100033431	HBII-85-20	2
677837	SNORA60	1
677837	ACA60	2
100861563	SCAANT1	1
100861563	ATXN7-AS1	2
643749	TRAF3IP2-AS1	1
643749	C6UAS	2
643749	C6ORF3	3
643749	NCRNA00248	4
643749	TRAF3IP2-AS2	5
107397391	SCARNA21B	1
26779	SNORA69	1
26779	RNU69	2
26779	U69	3
26779	U69A	4
100302153	MIR1298	1
100302153	MIRN1298	2
100302153	HSA-MIR-1298	3
692226	SNORD96B	1
692226	U96B	2
100033439	SNORD116-27	1
100033439	HBII-85-27	2
102465496	MIR6826	1
102465496	HSA-MIR-6826	2
100126321	MIR922	1
100126321	MIRN922	2
100126321	HSA-MIR-922	3
100616275	MIR4508	1
100616275	MIR-4508	2
100033426	SNORD116-14	1
100033426	HBII-85-14	2
574463	MIR519E	1
574463	MIRN519E	2
26821	SNORA74A	1
26821	RNU19	2
26821	U19	3
26828	RNU5F-1	1
26828	RNU5F	2
26828	U5F	3
100302205	MIR1283-2	1
100302205	MIRN1283-2	2
100302205	HSA-MIR-1283-2	3
100302205	MIR-1283-2	4
100302157	MIR1185-1	1
100302157	MIRN1185-1	2
100302157	HSA-MIR-1185-1	3
100302157	MIR-1185-1	4
101954278	RNU6-8	1
101954278	U6-8	2
102465684	MIR6511A4	1
102465684	MIR6511A-4	2
102465684	HSA-MIR-6511A-4	3
109864274	RNA5-8SN4	1
109864274	RN5-8S1	2
109864274	RNA5-8S5	3
677817	SNORA36A	1
677817	ACA36	2
26793	SNORD56	1
26793	RNU56	2
26793	U56	3
100033418	SNORD116-6	1
100033418	HBII-85-6	2
100847052	MIR664B	1
100847052	MIR644B	2
100847052	HSA-MIR-664B	3
100847052	MIR-664B	4
692108	SNORD67	1
692108	HBII-166	2
100616273	MIR451B	1
338433	SNORD115-1	1
338433	HBII-52-1	2
338433	RNHBII52	3
6079	SNORD15A	1
6079	RNU15A	2
6079	SNORNA	3
6079	U15A	4
101954275	RNU6-7	1
101954275	U6-7	2
724029	MIR659	1
724029	MIRN659	2
724029	HSA-MIR-659	3
724029	MIR-659	4
693206	MIR621	1
693206	MIRN621	2
693206	HSA-MIR-621	3
574491	MIR518A2	1
574491	MIRN518A-2	2
574491	MIRN518A2	3
574491	MIR-518A-2	4
100423029	MIR3163	1
677799	SNORA11	1
677799	SNORA11A	2
677799	U107	3
677835	SNORA56	1
677835	ACA56	2
