pathway	geneid
zma00040	103627042
zma00040	103629730
zma00040	103629733
zma00040	103629734
zma00040	103629735
zma00040	103629743
zma00040	103630432
zma00040	103630641
zma00040	103631311
zma00040	103633411
zma00040	103633554
zma00040	103635516
zma00040	103635870
zma00040	103636111
zma00040	103636583
zma00040	103636664
zma00040	103639332
zma00040	103639495
zma00040	103640441
zma00040	103644217
zma00040	103644218
zma00040	103644219
zma00040	103650113
zma00040	103651758
zma00040	103652411
zma00040	103653359
zma00040	103655069
zma00040	103655070
zma00040	103655071
zma00040	103655074
zma00040	103655079
zma00040	103655081
zma00040	103655087
zma00040	103655089
zma00040	107275230
zma00040	107546770
zma00040	107648854
zma00040	109939773
zma00040	109939990
zma00040	109945664
zma00040	109945668
zma00040	111590550
zma00040	542245
zma00040	542387
zma00040	542462
zma00040	732772
zma00051	100170246
zma00051	100191222
zma00051	100191416
zma00051	100191571
zma00051	100191851
zma00051	100191982
zma00051	100192075
zma00051	100192478
zma00051	100192721
zma00051	100193000
zma00051	100193286
zma00051	100193340
zma00051	100194114
zma00051	100194128
zma00051	100194385
zma00051	100216767
zma00051	100272481
zma00051	100272536
zma00051	100272600
zma00051	100272845
zma00051	100272867
zma00051	100272913
zma00051	100273196
zma00051	100273700
zma00051	100274383
zma00051	100274471
zma00051	100277024
zma00051	100279231
zma00051	100279398
zma00051	100279587
zma00051	100280295
zma00051	100280449
zma00051	100280694
zma00051	100280823
zma00051	100281068
zma00051	100281365
zma00051	100281464
zma00051	100281585
zma00051	100281688
zma00051	100282190
zma00051	100282677
zma00051	100283066
zma00051	100283735
zma00051	100283867
zma00051	100284739
zma00051	100285548
zma00051	100285932
zma00051	100286050
zma00051	100382182
zma00051	100502020
zma00051	100502178
zma00051	101027252
zma00051	103628997
zma00051	103629493
zma00051	103630144
zma00051	103630633
zma00051	103631224
zma00051	103632535
zma00051	103636300
zma00051	103638108
zma00051	103638326
zma00051	103647149
zma00051	103647427
zma00051	103650768
zma00051	103651012
zma00051	103651223
zma00051	103653987
zma00051	541911
zma00051	542107
zma00051	542108
zma00051	542261
zma00051	542510
zma00052	100170246
zma00052	100191144
zma00052	100191463
zma00052	100191564
zma00052	100191764
zma00052	100191846
zma00052	100191982
zma00052	100192075
zma00052	100192478
zma00052	100193772
zma00052	100217298
zma00052	100272618
zma00052	100274554
zma00052	100279231
zma00052	100279587
zma00052	100280694
zma00052	100280970
zma00052	100281190
zma00052	100281464
zma00052	100281585
zma00052	100281688
zma00052	100283171
zma00052	100283204
zma00052	100283489
zma00052	100283735
zma00052	100284107
zma00052	100285169
zma00052	100285548
zma00052	100285932
zma00052	100285949
zma00052	100303816
zma00052	100382295
zma00052	100382378
zma00052	100383094
zma00052	100383472
zma00052	100383712
zma00052	100383851
zma00052	100502243
