geneid	genesymbol	count
CTRG_00107	HYPOTHETICAL PROTEIN	1
CTRG_00108	HYPOTHETICAL PROTEIN	1
CTRG_00109	HYPOTHETICAL PROTEIN	1
CTRG_00110	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00111	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00112	GLYCOLIPID-ANCHORED SURFACE PROTEIN 4 PRECURSOR	1
CTRG_00113	HYPOTHETICAL PROTEIN	1
CTRG_00114	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00115	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00116	PREDICTED PROTEIN	1
CTRG_00117	NA(+)/H(+) ANTIPORTER	1
CTRG_00118	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00119	VACUOLAR ATP SYNTHASE SUBUNIT D	1
CTRG_00120	HYPOTHETICAL PROTEIN	1
CTRG_00121	HYPOTHETICAL PROTEIN	1
CTRG_00122	HISTIDINOL DEHYDROGENASE	1
CTRG_00123	PEROXISOMAL TARGETING SIGNAL RECEPTOR	1
CTRG_00124	PREDICTED PROTEIN	1
CTRG_00125	ATP SYNTHASE BETA CHAIN	1
CTRG_00125	MITOCHONDRIAL PRECURSOR	2
CTRG_00126	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00127	HYPOTHETICAL PROTEIN	1
CTRG_00128	PREDICTED PROTEIN	1
CTRG_00129	ATP-DEPENDENT RNA HELICASE SUB2	1
CTRG_00130	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00131	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00132	EXOSOME COMPLEX EXONUCLEASE RRP41	1
CTRG_00133	HYPOTHETICAL PROTEIN	1
CTRG_00134	HYPOTHETICAL PROTEIN	1
CTRG_00135	PREDICTED PROTEIN	1
CTRG_00136	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00137	PREDICTED PROTEIN	1
CTRG_00138	PREDICTED PROTEIN	1
CTRG_00139	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00140	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00141	HYPOTHETICAL PROTEIN	1
CTRG_00142	HYPOTHETICAL PROTEIN	1
CTRG_00143	PREDICTED PROTEIN	1
CTRG_00144	HYPOTHETICAL PROTEIN	1
CTRG_00145	PROTEASOME COMPONENT C5	1
CTRG_00146	ER LUMEN PROTEIN RETAINING RECEPTOR	1
CTRG_00147	PREDICTED PROTEIN	1
CTRG_00148	PREDICTED PROTEIN	1
CTRG_00149	PREDICTED PROTEIN	1
CTRG_00150	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00151	PREDICTED PROTEIN	1
CTRG_00152	HYPOTHETICAL PROTEIN	1
CTRG_00153	PREDICTED PROTEIN	1
CTRG_00154	PREDICTED PROTEIN	1
CTRG_00155	PREDICTED PROTEIN	1
CTRG_00156	HYPOTHETICAL PROTEIN	1
CTRG_00157	PREDICTED PROTEIN	1
CTRG_00158	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00159	SUPEROXIDE DISMUTASE	1
CTRG_00160	PREDICTED PROTEIN	1
CTRG_00161	PREDICTED PROTEIN	1
CTRG_00162	HYPOTHETICAL PROTEIN	1
CTRG_00163	PREDICTED PROTEIN	1
CTRG_00164	HISTONE DEACETYLASE HOS3	1
CTRG_00165	LIPOIC ACID SYNTHETASE	1
CTRG_00165	MITOCHONDRIAL PRECURSOR	2
CTRG_00166	ISOPENTENYL-DIPHOSPHATE DELTA-ISOMERASE	1
CTRG_00167	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00168	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00169	GLUCAN 1	1
CTRG_00169	3-BETA-GLUCOSIDASE PRECURSOR	2
CTRG_00170	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00171	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00172	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00173	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00174	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00175	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00176	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00177	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00178	PREDICTED PROTEIN	1
CTRG_00179	HYPOTHETICAL PROTEIN	1
CTRG_00180	PREDICTED PROTEIN	1
CTRG_00181	ACETOLACTATE SYNTHASE SMALL SUBUNIT	1
CTRG_00181	MITOCHONDRIAL PRECURSOR	2
CTRG_00182	HYPOTHETICAL PROTEIN	1
CTRG_00183	HYPOTHETICAL PROTEIN	1
CTRG_00184	PREDICTED PROTEIN	1
CTRG_00185	HYPOTHETICAL PROTEIN	1
CTRG_00186	PREDICTED PROTEIN	1
CTRG_00187	PREDICTED PROTEIN	1
CTRG_00188	PREDICTED PROTEIN	1
CTRG_00189	PREDICTED PROTEIN	1
CTRG_00190	GLYCYLPEPTIDE N-TETRADECANOYLTRANSFERASE	1
CTRG_00191	PERIODIC TRYPTOPHAN PROTEIN 1	1
CTRG_00192	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00193	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00194	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00195	VEG136 PROTEIN	1
CTRG_00196	HYPOTHETICAL PROTEIN	1
CTRG_00197	60S RIBOSOMAL PROTEIN L20	1
CTRG_00198	C-4 METHYLSTEROL OXIDASE	1
CTRG_00199	CARBAMOYL-PHOSPHATE SYNTHASE ARGININE-SPECIFIC SMALL CHAIN	1
CTRG_00199	MITOCHONDRIAL PRECURSOR	2
CTRG_00200	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00201	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00202	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00203	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00204	TRANSCRIPTION INITIATION FACTOR IIA SMALL CHAIN	1
CTRG_00205	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00206	HYPOTHETICAL PROTEIN	1
CTRG_00208	PREDICTED PROTEIN	1
CTRG_00207	PREDICTED PROTEIN	1
CTRG_00209	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00210	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00211	FRUCTOSE-BISPHOSPHATE ALDOLASE	1
CTRG_00212	PREDICTED PROTEIN	1
CTRG_00213	L-A VIRUS GAG PROTEIN N-ACETYLTRANSFERASE	1
CTRG_00214	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00215	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00216	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00217	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00218	RIBOSE-PHOSPHATE PYROPHOSPHOKINASE 2	1
CTRG_00219	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00220	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00221	PHOSPHATE PERMEASE PHO89	1
CTRG_00222	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00223	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00224	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00225	HYPOTHETICAL PROTEIN	1
CTRG_00226	MALATE DEHYDROGENASE	1
CTRG_00226	MITOCHONDRIAL PRECURSOR	2
CTRG_00227	ADP-RIBOSYLATION FACTOR 1	1
CTRG_00228	PREPHENATE DEHYDROGENASE	1
CTRG_00229	HYPOTHETICAL PROTEIN	1
CTRG_00230	HYPOTHETICAL PROTEIN	1
CTRG_00231	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00232	PYRUVATE DECARBOXYLASE	1
CTRG_00233	PREDICTED PROTEIN	1
CTRG_00234	HYPOTHETICAL PROTEIN	1
CTRG_00235	F-ACTIN CAPPING PROTEIN BETA SUBUNIT ISOFORMS 1 AND 2	1
CTRG_00236	PREDICTED PROTEIN	1
CTRG_00237	PREDICTED PROTEIN	1
CTRG_00238	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00239	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00240	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00241	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00242	HYPOTHETICAL PROTEIN	1
CTRG_00243	CARNITINE O-ACETYLTRANSFERASE	1
CTRG_00243	MITOCHONDRIAL PRECURSOR	2
CTRG_00244	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00245	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00246	PROTEIN HGH1	1
CTRG_00247	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00248	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00249	PREDICTED PROTEIN	1
CTRG_00250	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00251	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00252	HYPOTHETICAL PROTEIN	1
CTRG_00253	HYPOTHETICAL PROTEIN	1
CTRG_00254	HYPOTHETICAL PROTEIN	1
CTRG_00255	SULFATE PERMEASE 1	1
CTRG_00256	PREDICTED PROTEIN	1
CTRG_00257	PREDICTED PROTEIN	1
CTRG_00258	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00259	PYRUVATE CARBOXYLASE	1
CTRG_00260	ZUOTIN	1
CTRG_00261	CONSERVED HYPOTHETICAL PROTEIN	1
CTRG_00262	PREDICTED PROTEIN	1
CTRG_00263	HYPOTHETICAL PROTEIN	1
CTRG_00264	PREDICTED PROTEIN	1
CTRG_00265	HYPOTHETICAL PROTEIN	1
CTRG_00266	HYPOTHETICAL PROTEIN	1
CTRG_00267	HYPOTHETICAL PROTEIN	1
CTRG_00268	HYPOTHETICAL PROTEIN	1
CTRG_00269	HYPOTHETICAL PROTEIN	1
CTRG_00270	HYPOTHETICAL PROTEIN	1
CTRG_00271	CONSERVED HYPOTHETICAL PROTEIN	1
