geneid	genesymbol	count
CAALFM_C101080WA	CAO19.3296	1
CAALFM_C101090CA	CAO19.3297	1
CAALFM_C101100WA	CCH1	1
CAALFM_C101100WA	CAO19.3298	2
CAALFM_C101110CA	ZPR1	1
CAALFM_C101110CA	CAO19.3300	2
CAALFM_C101130WA	CAO19.3301	1
CAALFM_C101140CA	CAO19.3302	1
CAALFM_C101150CA	CAO19.3303	1
CAALFM_C101160CA	CAO19.3304	1
CAALFM_C101170CA	ZCF17	1
CAALFM_C101170CA	CAO19.3305	2
CAALFM_C101180CA	CAO19.3306	1
CAALFM_C101190CA	CAO19.3307	1
CAALFM_C101200WA	STB5	1
CAALFM_C101200WA	CAO19.3308	2
CAALFM_C101210WA	CAO19.3309	1
CAALFM_C101220CA	CAO19.3310	1
CAALFM_C101240WA	IFD3	1
CAALFM_C101240WA	CAO19.3311	2
CAALFM_C101250WA	CAO19.3312	1
CAALFM_C101260CA	TRS20	1
CAALFM_C101260CA	CAO19.3314	2
CAALFM_C101270WA	CTA9	1
CAALFM_C101270WA	CAO19.3315	2
CAALFM_C101280CA	MED22	1
CAALFM_C101280CA	CAO19.3317	2
CAALFM_C101290CA	CAO19.3318	1
CAALFM_C101300WA	CAO19.3319	1
CAALFM_C101320WA	MRS7	1
CAALFM_C101320WA	CAO19.3321	2
CAALFM_C101330CA	DUT1	1
CAALFM_C101330CA	CAO19.3322	2
CAALFM_C101340CA	CAO19.3323	1
CAALFM_C101350CA	TIF	1
CAALFM_C101350CA	CAO19.3324	2
CAALFM_C101360CA	CAO19.3325	1
CAALFM_C101370CA	RPS21B	1
CAALFM_C101380CA	TRM2	1
CAALFM_C101380CA	CAO19.3327	2
CAALFM_C101390CA	CAO19.3328	1
CAALFM_C101400CA	CAO19.3329	1
CAALFM_C101420CA	CRL1	1
CAALFM_C101420CA	CAO19.3330	2
CAALFM_C101440CA	POX18	1
CAALFM_C101450WA	ABC1	1
CAALFM_C101450WA	CAO19.3331	2
CAALFM_C101460WA	CAO19.3332	1
CAALFM_C101470WA	CAO19.3333	1
CAALFM_C101480CA	RPS21	1
CAALFM_C101480CA	CAO19.3334	2
CAALFM_C101490WA	CAO19.3335	1
CAALFM_C101510WA	CAO19.3338	1
CAALFM_C101520CA	SOD2	1
CAALFM_C101520CA	CAO19.3340	2
CAALFM_C101530CA	CAO19.3341	1
CAALFM_C101540WA	CAO19.3342	1
CAALFM_C101550WA	VPS17	1
CAALFM_C101550WA	CAO19.3344	2
CAALFM_C101560WA	SIZ1	1
CAALFM_C101560WA	CAO19.3345	2
CAALFM_C101570CA	RPB7	1
