pathway	geneid
hsa00100	3930
hsa00100	3988
hsa00100	4047
hsa00100	50814
hsa00100	51478
hsa00100	6307
hsa00100	6309
hsa00100	6646
hsa00100	6713
hsa00100	7108
hsa00100	8435
hsa00120	10005
hsa00120	10858
hsa00120	10998
hsa00120	1109
hsa00120	1581
hsa00120	1582
hsa00120	1593
hsa00120	23600
hsa00120	3295
hsa00120	51302
hsa00120	570
hsa00120	6342
hsa00120	6718
hsa00120	80270
hsa00120	8309
hsa00120	9023
hsa00120	9420
hsa00130	10229
hsa00130	154807
hsa00130	1728
hsa00130	2677
hsa00130	27235
hsa00130	3242
hsa00130	51004
hsa00130	51805
hsa00130	6898
hsa00130	79001
hsa00130	84274
hsa00140	100861540
hsa00140	10720
hsa00140	10941
hsa00140	1109
hsa00140	1312
hsa00140	1543
hsa00140	1544
hsa00140	1545
hsa00140	1551
hsa00140	1571
hsa00140	1576
hsa00140	1577
hsa00140	1581
hsa00140	1583
hsa00140	1584
hsa00140	1585
hsa00140	1586
hsa00140	1588
hsa00140	1589
hsa00140	1645
hsa00140	1646
hsa00140	220074
hsa00140	3283
hsa00140	3284
hsa00140	3290
hsa00140	3291
hsa00140	3292
hsa00140	3293
hsa00140	3294
hsa00140	412
hsa00140	51144
hsa00140	51478
hsa00140	54490
hsa00140	54575
hsa00140	54576
hsa00140	54577
hsa00140	54578
hsa00140	54579
hsa00140	54600
hsa00140	54657
hsa00140	54658
hsa00140	54659
hsa00140	574537
hsa00140	6715
hsa00140	6716
hsa00140	6718
hsa00140	6783
hsa00140	6820
hsa00140	7363
hsa00140	7364
hsa00140	7365
hsa00140	7366
hsa00140	7367
hsa00140	79154
hsa00140	7923
hsa00140	79644
hsa00140	79799
hsa00140	8630
hsa00140	8644
hsa00140	9420
hsa00190	100532726
hsa00190	10063
hsa00190	10312
hsa00190	10476
hsa00190	10632
hsa00190	10975
hsa00190	125965
hsa00190	126328
hsa00190	127124
hsa00190	1327
hsa00190	1329
hsa00190	1337
hsa00190	1339
hsa00190	1340
hsa00190	1345
hsa00190	1346
hsa00190	1347
hsa00190	1349
hsa00190	1350
hsa00190	1351
hsa00190	1352
hsa00190	1353
hsa00190	1355
hsa00190	1537
hsa00190	155066
hsa00190	170712
hsa00190	23545
hsa00190	245972
hsa00190	245973
hsa00190	27068
hsa00190	27089
hsa00190	29796
hsa00190	341947
hsa00190	374291
hsa00190	440567
hsa00190	4508
hsa00190	4509
hsa00190	4512
hsa00190	4513
hsa00190	4514
hsa00190	4519
